id,month_key,date,week,top,photo,photo_info,rating,menu,map,coupon,p_coupon,seat,other,total
321,2019-11,2019-11-16,"土",46,5,13,13,47,11,4,0,0,7,146
322,2019-11,2019-11-17,"日",49,23,10,38,31,5,8,0,1,16,181
323,2019-11,2019-11-18,"月",65,22,13,41,39,3,6,0,0,14,203
324,2019-11,2019-11-19,"火",65,14,48,40,73,10,6,0,1,33,290
325,2019-11,2019-11-20,"水",86,10,8,40,34,13,7,0,5,20,223
326,2019-11,2019-11-21,"木",38,23,12,14,14,1,3,0,0,10,115
327,2019-11,2019-11-22,"金",35,3,42,22,12,3,3,0,0,2,122
328,2019-11,2019-11-23,"土",68,42,30,45,21,4,8,0,1,37,256
329,2019-11,2019-11-24,"日",30,0,0,13,11,6,1,0,0,2,63
330,2019-11,2019-11-25,"月",47,12,9,15,23,1,2,0,2,17,128
331,2019-11,2019-11-26,"火",40,14,2,26,19,3,2,0,0,10,116
332,2019-11,2019-11-27,"水",26,9,3,20,5,6,0,0,0,7,76
333,2019-11,2019-11-28,"木",34,8,4,8,7,1,3,0,0,11,76
334,2019-11,2019-11-29,"金",30,7,0,1,8,5,5,0,0,12,68
335,2019-11,2019-11-30,"土",70,11,19,30,20,5,7,0,0,23,185
336,2019-10,2019-10-01,"火",29,1,1,17,7,0,0,0,1,6,62
337,2019-10,2019-10-02,"水",24,8,3,3,3,15,0,0,0,2,58
338,2019-10,2019-10-03,"木",32,11,5,7,7,1,0,0,0,2,65
339,2019-10,2019-10-04,"金",21,2,2,2,13,1,0,0,0,1,42
340,2019-10,2019-10-05,"土",16,2,0,12,5,2,0,0,0,3,40
341,2019-10,2019-10-06,"日",29,2,1,11,8,1,0,0,0,6,58
342,2019-10,2019-10-07,"月",44,2,1,8,8,7,0,0,0,4,74
343,2019-10,2019-10-08,"火",38,2,4,26,13,5,0,0,1,6,95
344,2019-10,2019-10-09,"水",54,4,2,19,15,7,0,0,0,16,117
345,2019-10,2019-10-10,"木",40,6,2,2,1,4,0,0,0,10,65
346,2019-10,2019-10-11,"金",40,20,22,11,9,11,0,0,0,11,124
347,2019-10,2019-10-12,"土",13,4,6,4,3,0,0,0,0,10,40
348,2019-10,2019-10-13,"日",41,10,1,15,14,1,0,0,1,11,94
349,2019-10,2019-10-14,"月",51,22,13,18,8,5,0,0,1,40,158
350,2019-10,2019-10-15,"火",24,8,8,15,11,8,0,0,1,13,88
351,2019-10,2019-10-16,"水",40,20,16,35,23,5,0,0,2,8,149
352,2019-10,2019-10-17,"木",21,10,4,35,2,12,0,0,1,8,93
353,2019-10,2019-10-18,"金",48,10,6,21,11,5,0,0,0,14,115
